words,score
accuracy,0.0033984446080517067
achieve,0.004768280742683741
actor,0.009432010769811157
ad,0.005173782750134123
adapt,0.00676528731309522
adequacy,0.0034694666567218696
advertisement,0.004385953044341933
advertiser,0.006060138045418663
affect,0.0036952148918604362
affidavit,0.009771981216474945
aggregator,0.008234058433448176
allan,0.010758042424498649
alliance,0.002619854177542694
amusement,0.008574028880111965
analyst,0.003181353469419646
announcement,0.0035786574821757367
aol,0.008429922121778836
arthur,0.007320618954848647
article,0.004433213642517637
assignment,0.003896266733453353
attempt,0.002687063348998531
attract,0.0027197683112887734
august,0.003166490005564023
author,0.007214772828654799
avenue,0.004862185709055681
award,0.0033122419614463184
awareness,0.0033374727729754607
backlog,0.002559785252469813
barnes,0.008815576635190035
baseline,0.0073573922548006996
bearing,0.00405098485846373
beauty,0.006216109909979772
berkley,0.010510724113492357
bid,0.003878796607420538
biography,0.009929205911750498
book,0.002953271206177697
box,0.003539447062468078
breach,0.0033447497517048127
break,0.005600636197664497
broadway,0.009148049109594998
brochure,0.006496988108370182
broker,0.0027427782947446835
build,0.0036017716003663297
buyer,0.0033928119689707603
cable,0.0034991119786840904
cablevision,0.008815576635190035
call,0.002831224284535622
card,0.00262345351218947
carrier,0.002588970003633896
carry,0.004372684035632724
cbs,0.007976483238361486
celebrity,0.008030496380963875
chain,0.002488353876519872
chairman,0.0024817023741664905
character,0.005184321074827692
check,0.0036017716003663297
child,0.004214884731459886
choice,0.0029605543180720372
cinema,0.008362137751772686
circuit,0.003242119568705601
citibank,0.008731253575387517
clarke,0.01029440716994343
classroom,0.006016820492291818
closing,0.0028626608472532614
collect,0.004893167228223418
comic,0.010758042424498649
commerce,0.0029590952382936137
compiler,0.009771981216474945
compiles,0.010399183484964217
complement,0.0038738374077627574
complementary,0.007661380557349044
compromise,0.0069313297820644045
concert,0.006086659484963047
confidentiality,0.0027402064491884016
confirm,0.006739100753106787
confusion,0.007266885718295115
consent,0.003042762113859348
contact,0.002865421678343381
contain,0.003699686511159322
convergence,0.0062946816170707
conversion,0.0026513003055681035
copyright,0.00304889621043141
corp,0.002683329217416483
county,0.002763492009596463
covenant,0.0032352613061546547
cover,0.0024872435135553108
create,0.002882079926778025
creation,0.003417353767081553
creator,0.008086252180527515
crew,0.006496988108370182
danger,0.006577925702065883
database,0.0030034125355788135
deadline,0.00512203397719059
defamation,0.008574028880111965
defense,0.003068983730827682
deficiency,0.003243838395197242
deficit,0.004317400379193149
demographic,0.0045066197776211375
dependent,0.003996971715861343
derives,0.007376076543748983
designation,0.004372684035632724
destination,0.004254546910948031
determination,0.002498379376146911
dickinson,0.008464838054658096
digital,0.005248937194826712
dilution,0.004098261753556392
dinner,0.007433372837126081
directory,0.005822791171614232
disney,0.007617624298827056
disruption,0.0026908055660396116
district,0.0025540069793009764
divert,0.006463428220986063
downtime,0.006178124207386
dream,0.01010217814098581
edgar,0.007320618954848647
edition,0.005861456764025935
editor,0.007376076543748983
editorial,0.007180883901784699
education,0.003092455525201276
endeavor,0.005957943950951288
enforce,0.0036467758515828486
enter,0.003072094946600178
entertainment,0.003629492908608441
enthusiast,0.007752363663523962
evaluate,0.004251463449122284
evidence,0.0037244893880425257
executes,0.01029440716994343
exhibitor,0.009312771777129376
expiration,0.0025702350787658616
extreme,0.007512847983806265
festival,0.009096454833580446
fiction,0.01029440716994343
film,0.0045281786421398915
fire,0.0031258609625996014
flood,0.004568415546999159
florida,0.003370463210636177
footage,0.005669227735068314
format,0.0034364721024672854
founder,0.004715098703677504
fox,0.007164185415409704
frustrate,0.01010217814098581
game,0.004644063503943785
garden,0.005877168507642242
generate,0.002559785252469813
generates,0.005391851624795963
girl,0.007823888900563994
gov,0.0024304661053815755
hardware,0.002846187840303262
harm,0.0033538892753565367
hbo,0.009371363147296106
hill,0.0047353601302819025
hit,0.007775878038428865
hollywood,0.007553999449227961
horror,0.011046758640381621
hotel,0.004155589725649956
household,0.00410957622863046
hugo,0.010758042424498649
hundred,0.004636347955884572
idea,0.005403812087027989
identify,0.003878796607420538
identity,0.003832249048326965
impair,0.005008582591259538
impede,0.008362137751772686
imposition,0.003539447062468078
in,0.006254949294929696
inability,0.0024112390602903724
inception,0.0032165402182817372
incident,0.004372684035632724
include,0.005458682724014077
incorporates,0.006408903828595922
incorporation,0.003127467917522339
incurrence,0.005933312466644884
indemnification,0.004075852624115077
