words,score
africa,0.005117778164902347
allocation,0.0027832113679485963
arabia,0.008481921603645644
asia,0.0031005359051565432
backlog,0.0027694251539673444
baker,0.00718332276230958
basin,0.005571645311569611
breakthrough,0.00788005487077846
cambridge,0.007101298356977377
ceo,0.004764050684780162
certification,0.0025365159699907293
characterization,0.005823599391074015
charter,0.002406675093526235
ci,0.009695099273567216
cleanup,0.004017474460723247
confiscatory,0.010208243702876747
construct,0.004073050855975739
consumption,0.003535634204715706
contact,0.002793308497660408
contamination,0.002625882652072602
count,0.0047162285103413484
crew,0.006202402289132893
crude,0.0053465925762195025
cuba,0.011109024917975496
deductible,0.004411314708541231
delivers,0.003863269469681411
deprivation,0.009553552744774863
devaluation,0.006192997417830578
doll,0.010111213012617033
drilling,0.005446306119551274
emission,0.0030292361896638127
england,0.0047123034798574595
ethic,0.0028843182261985493
europe,0.0025105982920873592
evaluate,0.003839658867547069
excess,0.003472148083817584
exhibit,0.004027921108632677
exploration,0.004677380706884157
expropriation,0.005940719959921916
fault,0.0043001147712915305
finding,0.004210275029452378
floor,0.003644931833783796
fluid,0.004708387503661851
formation,0.0034515029159215057
gas,0.0026121740317234603
gov,0.002363872637322915
help,0.0026190145040875354
hold,0.003933657927127174
hole,0.006015078193928036
hughes,0.007805696636772341
hydrocarbon,0.005838756410767031
imposition,0.0027569886519854202
incur,0.003027782163940645
inflation,0.0026339307704292526
infringing,0.006794465096881156
ir,0.007496192133122547
iran,0.010208243702876747
land,0.0028239653114604346
leader,0.002527832703344555
library,0.005584703644637094
logging,0.009849530683406054
massachusetts,0.004175629440662197
measurement,0.003941108889760594
methodology,0.0032846267157879533
monitoring,0.0027311648483281
nationality,0.009422905610908364
negligence,0.005137808779934594
nyse,0.006015078193928036
occur,0.004724105902332932
oil,0.0028239653114604346
oilfield,0.008011715784865007
optimization,0.004569502855576903
oxley,0.00404635887637892
page,0.0026877893889336577
paris,0.00734176072328371
petroleum,0.0037001769444830477
phenomenon,0.007417220920929961
pollution,0.003706668634719187
population,0.0024924764410138513
productivity,0.0027471046361265427
promote,0.003909054961298821
proportion,0.0037131852451324832
receive,0.003715363019553049
regard,0.0024651295372765513
remediation,0.0025031129101976855
renegotiation,0.0054767840464332845
reservoir,0.00585404998202591
rig,0.006478290349175898
rock,0.0050351902803899284
royalty,0.0024945984099501665
russia,0.00598162735930904
sanction,0.002575036340728607
sarbanes,0.0023707673520494245
saudi,0.008095910308649363
schlumberger,0.008982365911914094
seasonality,0.002614451127877117
secret,0.002567262022596493
secretary,0.0027631955142128346
sensor,0.005440275651653465
stabilize,0.010019429853361258
stimulation,0.007150035912904004
stricter,0.006057840528769816
stringent,0.004662087135625276
surface,0.0035336750874434305
survey,0.0038002594556600005
suspension,0.0029538392387874856
synergy,0.0038210040102794472
syria,0.010420717516266826
taxation,0.003080927980305827
technique,0.002419830732579505
threat,0.0029748404335786273
today,0.0030600620029444044
transition,0.0027794403743327052
unrest,0.0063917709923640605
utilization,0.003026329382569981
view,0.0027397292084726473
war,0.0026606464934439337
weather,0.002728725803471714
well,0.003103572712635484
wireline,0.006259952713278281
worldwide,0.003138892144382099
zone,0.004646930115932261
adjusts,0.007023055248989825
administers,0.005721128421521386
advisor,0.003132696608570777
affect,0.002781953439081837
affordability,0.006992740605417518
aggregate,0.002470354456538323
amortization,0.003008992296444879
angeles,0.004643161912547013
annum,0.005163184064493044
apartment,0.005352298715803949
applicant,0.004421193930960892
applies,0.0034702608407905073
appraisal,0.00485965544053519
arise,0.006534693375556741
arm,0.003956109649474458
article,0.003839658867547069
assign,0.006075251706302802
attack,0.0026937478890069395
autonomy,0.008343267026026321
balloon,0.00598162735930904
banker,0.004768097349218494
banking,0.0031096626740655512
bankruptcy,0.0023986296996612875
become,0.0028736667407244657
belief,0.005152988388631383
bond,0.002944126891496643
borrower,0.0035474366271911785
burden,0.003791120403018871
buyer,0.0030645117431803083
calculate,0.006230933631798937
calendar,0.0031173059779639463
cap,0.0036554171971257612
casualty,0.0039890733051754865
catastrophe,0.005571645311569611
clause,0.004838408918786282
cmt,0.009932355642833741
composition,0.0032863183700664713
conduit,0.0061017079549365826
conflict,0.002794574872152567
conformity,0.0052416683772335574
consent,0.0025963193140792827
contain,0.0030453132140103472
contaminant,0.005030455061341907
contribution,0.002383646593321465
dealing,0.006084024722872496
deduction,0.0039737797339166065
deed,0.006478290349175898
deficiency,0.002680666686478532
delinquency,0.0045303126067792595
determines,0.0033483686253905536
discretion,0.002588447140650292
disposition,0.0028369042073929655
distribute,0.0029017707121156058
district,0.0025606265421167147
duty,0.002431042616150658
dwelling,0.007269512588900441
earthquake,0.0034892283557490422
enforces,0.006767939948966647
engage,0.0032965038501910657
enhancement,0.0025127430490726084
enter,0.0025828464264706264
equivalent,0.0037131852451324832
faith,0.004461295990929707
fannie,0.00723450980391157
fdic,0.0047162285103413484
fico,0.007150035912904004
fire,0.002531083725585568
flood,0.00355932168106847
foreclosure,0.004334284862213554
forth,0.003523913272573328
freddie,0.006478290349175898
guarantor,0.004796697362620496
hand,0.002826545213063396
hazard,0.003807146178808823
hospital,0.0035336750874434305
hotel,0.004251609330621712
housing,0.0035395592351995936
implement,0.002367809044716937
impound,0.010420717516266826
inception,0.002987567002432874
inclusion,0.004350047045353199
index,0.0033326421368463643
installment,0.004784381166434166
insurer,0.0032248233716993995
intention,0.0032248233716993995
intercompany,0.006933688566907953
invest,0.005786288550083077
issuer,0.0026782990781058836
item1a,0.002728725803471714
kind,0.00371972696778667
lending,0.003587381409638408
length,0.0035007114317424023
lien,0.003479718107189296
lifetime,0.006835046509723253
liquidation,0.002948282523750635
living,0.005757019291766199
los,0.004724105902332932
mac,0.006015078193928036
mae,0.006350110621162412
mall,0.005658377234581499
master,0.0036680857255323336
maturity,0.0025009802780980887
meaning,0.006015078193928036
mortgage,0.002882983129843446
mortgagor,0.007854905152593237
motel,0.007251920981444555
negotiation,0.0026937478890069395
neighborhood,0.004613313672325472
obligors,0.008124929390128705
obtains,0.006057840528769816
occupant,0.007476102254534359
omission,0.0047162285103413484
originates,0.0066534533215750384
origination,0.003968712342308968
originator,0.006183644364263891
par,0.005257810257285574
perform,0.002379673332460186
pollutant,0.00451628298206576
pool,0.0032863183700664713
post,0.0025354281295638754
prepayment,0.004324897327167976
preserve,0.005093067758756156
principal,0.003323967744297741
priority,0.002688979416972587
prohibit,0.0034384946152720697
pursue,0.0026304769036670688
pursues,0.00788005487077846
qualification,0.0029153188680496075
qualify,0.00474795980669387
quarterly,0.007287288405018872
receipt,0.002800920954040372
receives,0.00425759725544758
recoup,0.007496192133122547
refuse,0.006350110621162412
regulator,0.002672394463707632
reimbursement,0.0029720252174640824
reit,0.005199359023924029
relief,0.003026329382569981
relies,0.0041870995851652215
remedy,0.0027569886519854202
remittance,0.0064129909552687065
removal,0.0032183067612861034
renewal,0.0025963193140792827
rent,0.0036851255165625445
repay,0.003444057399915667
reprice,0.008124929390128705
residence,0.004868229069507155
restoration,0.004227866636908264
retains,0.006381259658916185
revocation,0.004094710798030026
role,0.002561730655929955
score,0.005398651764293855
section13,0.003607711891292412
securing,0.00690491542167359
selection,0.002444389206862106
servicer,0.0065232618513612565
servicing,0.005268657418333115
sever,0.009932355642833741
shopping,0.004108389960911825
shortage,0.002549624721832716
shortfall,0.004167077407824445
situation,0.00264201722634361
storm,0.00459126693481395
subcontract,0.0063917709923640605
subcontractor,0.004012275146006411
submits,0.007666091303077752
supervises,0.008411179079053324
tenant,0.004411314708541231
terminate,0.002785730025573849
terrorist,0.0036575220640141714
thereto,0.0037797653444403
third,0.0037045019784863096
thrift,0.004780295544900032
title,0.0033222381721379228
total,0.002363872637322915
treasury,0.003391032439759006
trust,0.0024178001403182305
underwriting,0.0042939752531057
varies,0.003057101976164762
veteran,0.006075251706302802
vote,0.0027421841256438087
voting,0.0029017707121156058
warehouse,0.0038968859132882004
willingness,0.004739971204054795
workout,0.007621995968616622
yield,0.00264201722634361
brokerage,0.0034366443971837186
client,0.002442329042861666
mark,0.002558420466526174
administer,0.006092843313758689
agriculture,0.004916174038616935
alcohol,0.006057840528769816
align,0.0063917709923640605
alliance,0.0025507217008227546
america,0.002588447140650292
anticipation,0.004495453580517494
architecture,0.00394359982920682
arrest,0.008842760578219505
attachment,0.006489422027935998
auditor,0.0034182522895616907
automate,0.007537099532509671
automation,0.004184224775116592
behavior,0.0047162285103413484
believe,0.004242666860804679
bi,0.0068078847314138775
breed,0.007711362650698495
bridge,0.005158078572139401
brochure,0.006716101572158103
broker,0.002728725803471714
browser,0.006165091448141955
budget,0.00271174991272488
bulletin,0.005307177789070992
bureau,0.004075743283071491
bus,0.006165091448141955
call,0.0028252547721589806
campaign,0.003420082559203155
capture,0.0037110102609425604
click,0.006716101572158103
commensurate,0.006962957825224831
complex,0.004204451439082398
complexity,0.0028072908486739636
configuration,0.003599550457649029
conjunction,0.0025828464264706264
consultation,0.00461701612728936
consulting,0.0036056678513970296
context,0.00502573301399114
conversion,0.0023976267011517464
convert,0.004437788148416503
copyright,0.0029399814073168607
counter,0.004602254513159889
crm,0.006962957825224831
cross,0.002811124290110318
curriculum,0.00734176072328371
custom,0.002752039450438936
database,0.00319890569379603
defend,0.005122763704250852
defendant,0.004108389960911825
delta,0.006279578075533564
demonstration,0.004792582027446206
dental,0.006690764162565977
departure,0.004650706702424274
deployment,0.00406232364853877
depth,0.004328020740980152
desktop,0.005526716320494954
developer,0.0031373411393148497
direction,0.0031497890405757668
discipline,0.004889854520274238
disparate,0.0065577899893659065
diverse,0.004488566857368671
documentation,0.0029098866236444464
doubt,0.005838756410767031
ebusiness,0.010420717516266826
effectiveness,0.0025806113044518583
eliminates,0.006183644364263891
email,0.005301621074034144
enables,0.0035914280740767406
encryption,0.005801114626227328
engagement,0.0052363216801269525
enterprise,0.002504180231784567
enters,0.004947404944419625
