words,score
document,0.003831965611658481
aggregate,0.003361419496147671
allocation,0.004029027953168517
alternative,0.003710736880421683
bulk,0.004933119702864984
buyer,0.004159039407463976
calhoun,0.012159906708294053
campbell,0.009313108362202456
charles,0.006640832015167745
concern,0.0032403180208509337
congress,0.004343991254680457
conservation,0.0051341450741228135
contribution,0.003299087705296476
counsel,0.004513094406767413
county,0.003270323808261821
course,0.003173627938290168
crude,0.006678248794567524
curtailment,0.008173045419492783
deal,0.006541449758490511
deduction,0.005487951725519383
drilling,0.006293381944527562
duration,0.004284135120801869
energy,0.003255263892874073
enforce,0.005431921031068032
engage,0.00519555328091818
extension,0.003119983561671984
ferc,0.006678248794567524
formation,0.004143291909016037
fuel,0.004212457444846021
gain,0.003178432020179365
gas,0.0033790890501678673
holder,0.003072311625065573
hydro,0.00852484967616242
importation,0.007692758748731246
imposition,0.0049098540974882405
interstate,0.004976498943599127
jr,0.006108098146463289
jurisdiction,0.003189687229509579
land,0.0033631793500330503
landmark,0.009991601998992388
legislature,0.005991359804689133
measure,0.002780479171036615
messrs,0.008036875844751575
modification,0.0031961477131886556
mr,0.0034904401079621982
oil,0.0036044677855289688
operate,0.0034941994919591764
opinion,0.00381197322460181
output,0.005000568461438404
petroleum,0.004646788305715801
phoenix,0.006356544966860755
pipeline,0.005104142906803987
pollution,0.0047084707008215035
possibility,0.004164316619168618
predict,0.004381975829029117
prediction,0.006845693255909165
preference,0.0038075578402062
present,0.004281329610732198
producer,0.003350893199187409
proposal,0.00330591704083603
proration,0.011121569390269847
proximity,0.004972515741436498
purchaser,0.0037002664261482463
regard,0.0036671294294772267
registrant,0.004198966783970634
relate,0.00746908464223818
rulemakings,0.00880913672446941
samuel,0.009462135806533833
seller,0.004711954684076908
severance,0.007724592922768286
sole,0.006073040812654349
spot,0.005436949507677724
square,0.005513955738072149
stamford,0.009541093375400312
status,0.0028675573858910645
statute,0.003431243888134638
sterling,0.008408030021132442
substitute,0.006262542629563536
taxation,0.0053531604161984915
transportation,0.0029472138831825763
transporter,0.007600225740369696
uncertainty,0.003036179247495319
virginia,0.004198966783970634
waste,0.003431243888134638
well,0.00437902784341504
accommodation,0.006794953289227444
ada,0.009349323616843486
albany,0.009941632848958498
amendment,0.0034717498546380766
amenity,0.006397073618904119
apartment,0.0051911030512949985
appearance,0.005498312253256174
assistance,0.003335208274240941
audit,0.003999642655991198
award,0.004925333988620032
behavior,0.008113533091677373
bethlehem,0.011033836013251145
borrowing,0.003794370646369384
brand,0.0030496514909431147
capitalization,0.005462285876169402
characteristic,0.00301097988750751
choice,0.004253491687998456
climate,0.006380762154147686
clinton,0.00721791112188823
closing,0.003856679009130724
collateral,0.0046945959441967895
columbus,0.006973071386262699
consultant,0.0032287711997743824
court,0.0032156570252683684
currency,0.0033596612100610618
damage,0.0029875531910836493
developer,0.003989943982903714
dilution,0.006929692145528556
disability,0.005421902349648163
discount,0.0027817901481699604
discrimination,0.007600225740369696
dividend,0.0032753694249893738
economy,0.0030242806372201133
exceeds,0.005717835620045518
expectation,0.003999642655991198
fair,0.00618748887148243
fine,0.004420705808439832
foot,0.002931589162488368
foundation,0.005012714198240156
generate,0.004596819155681912
groundwater,0.006356544966860755
grove,0.008727455716504193
housing,0.004215166677943614
hp,0.007999635570091824
hudson,0.008319310545666203
inspection,0.003223843167247346
integrity,0.0053244170537970256
